-4498.8	0.6024
-4497.6	0.6081
-4496.4	0.6366
-4495.2	0.6252
-4494	0.6252
-4492.8	0.6765
-4491.6	0.6879
-4490.4	0.6765
-4489.2	0.6822
-4488	0.6708
-4486.8	0.6537
-4485.6	0.6423
-4484.4	0.7107
-4483.2	0.7563
-4482	0.7791
-4480.8	0.7677
-4479.6	0.7677
-4478.4	0.6936
-4477.2	0.6252
-4476	0.6651
-4474.8	0.6651
-4473.6	0.6765
-4472.4	0.6993
-4471.2	0.7563
-4470	0.7392
-4468.8	0.705
-4467.6	0.6822
-4466.4	0.6993
-4465.2	0.7107
-4464	0.7221
-4462.8	0.7905
-4461.6	0.7962
-4460.4	0.7905
-4459.2	0.7848
-4458	0.8133
-4456.8	0.8133
-4455.6	0.8133
-4454.4	0.8817
-4453.2	0.8133
-4452	0.7563
-4450.8	0.6822
-4449.6	0.6765
-4448.4	0.6765
-4447.2	0.7164
-4446	0.7734
-4444.8	0.8361
-4443.6	0.8076
-4442.4	0.7734
-4441.2	0.7905
-4440	0.7563
-4438.8	0.7392
-4437.6	0.7278
-4436.4	0.7506
-4435.2	0.7392
-4434	0.7278
-4432.8	0.7905
-4431.6	0.7791
-4430.4	0.7905
-4429.2	0.7791
-4428	0.8019
-4426.8	0.7677
-4425.6	0.7392
-4424.4	0.7506
-4423.2	0.8019
-4422	0.8076
-4420.8	0.8019
-4419.6	0.8361
-4418.4	0.8247
-4417.2	0.8019
-4416	0.7905
-4414.8	0.7962
-4413.6	0.7905
-4412.4	0.7905
-4411.2	0.8532
-4410	0.8361
-4408.8	0.7962
-4407.6	0.7563
-4406.4	0.8019
-4405.2	0.8133
-4404	0.819
-4402.8	0.8532
-4401.6	0.876
-4400.4	0.8475
-4399.2	0.8304
-4398	0.8589
-4396.8	0.8589
-4395.6	0.8475
-4394.4	0.8361
-4393.2	0.8019
-4392	0.7506
-4390.8	0.7392
-4389.6	0.8304
-4388.4	0.9045
-4387.2	0.9558
-4386	0.9672
-4384.8	0.9729
-4383.6	0.9045
-4382.4	0.8532
-4381.2	0.8817
-4380	0.8988
-4378.8	0.9273
-4377.6	0.9273
-4376.4	0.9558
-4375.2	0.9159
-4374	0.8646
-4372.8	0.8418
-4371.6	0.8817
-4370.4	0.8988
-4369.2	0.9273
-4368	0.9957
-4366.8	0.9786
-4365.6	0.9444
-4364.4	0.9045
-4363.2	0.9159
-4362	0.8988
-4360.8	0.9045
-4359.6	0.9957
-4358.4	0.9786
-4357.2	0.99
-4356	0.99
-4354.8	1.0242
-4353.6	1.0071
-4352.4	0.9729
-4351.2	0.9558
